run_id,umap_n_neighbors,umap_min_dist,umap_n_components,hdbscan_min_cluster_size,hdbscan_min_samples,status
272,50,0.3,5,100,10,PENDING
273,50,0.3,5,100,15,PENDING
274,50,0.3,5,150,5,PENDING
275,50,0.3,5,150,10,PENDING
276,50,0.3,5,150,15,PENDING
277,50,0.3,10,30,5,PENDING
278,50,0.3,10,30,10,PENDING
279,50,0.3,10,30,15,PENDING
280,50,0.3,10,50,5,PENDING
281,50,0.3,10,50,10,PENDING
282,50,0.3,10,50,15,PENDING
283,50,0.3,10,100,5,PENDING
284,50,0.3,10,100,10,PENDING
285,50,0.3,10,100,15,PENDING
286,50,0.3,10,150,5,PENDING
287,50,0.3,10,150,10,PENDING
288,50,0.3,10,150,15,PENDING
